student_id;name;surname;email;phone_number;program_name;semester;study_mode
e61c6299-932c-4d45-9609-72505b883c82;Updated_Name_1;Updated_Surname_1;updated_student1@example.com;+48 678 511 386;Updated_Program_1;4;Full-time
b51dfd22-8452-46a5-9563-d226bb93a871;Updated_Name_2;Updated_Surname_2;updated_student2@example.com;+48 357 535 681;Updated_Program_2;7;Part-time
7db6b095-0422-4d3d-83cb-7f61f4c36307;Updated_Name_3;Updated_Surname_3;updated_student3@example.com;+48 790 579 111;Updated_Program_3;3;Full-time
962b7e1a-edd9-44e3-8cdd-980647b694da;Updated_Name_4;Updated_Surname_4;updated_student4@example.com;+48 246 726 709;Updated_Program_4;1;Full-time
70321138-e1a3-4314-b54a-d5bb2e7e45e8;Updated_Name_5;Updated_Surname_5;updated_student5@example.com;+48 492 552 912;Updated_Program_5;6;Part-time
5f6264ce-00cb-4e1f-8c57-4983c7eb7c06;Updated_Name_6;Updated_Surname_6;updated_student6@example.com;+48 989 162 926;Updated_Program_6;9;Full-time
0eecae1c-c34d-4366-8c98-7119d0fe3dd6;Updated_Name_7;Updated_Surname_7;updated_student7@example.com;+48 278 688 967;Updated_Program_7;9;Part-time
8227407e-9d9f-4adb-8952-0a93bdcd7c37;Updated_Name_8;Updated_Surname_8;updated_student8@example.com;+48 642 399 580;Updated_Program_8;4;Full-time
9cdb2ca2-dbc6-42a9-8e3b-494aef5f68f7;Updated_Name_9;Updated_Surname_9;updated_student9@example.com;+48 312 699 936;Updated_Program_9;6;Full-time
d3183a26-ad00-48e8-b925-3b53d204ad81;Updated_Name_10;Updated_Surname_10;updated_student10@example.com;+48 273 649 573;Updated_Program_10;9;Part-time
1f67a404-281d-4323-8177-99442af702a6;Updated_Name_11;Updated_Surname_11;updated_student11@example.com;+48 924 835 310;Updated_Program_11;2;Full-time
a892ac0d-7578-440b-a734-b3eeebd3e3e2;Updated_Name_12;Updated_Surname_12;updated_student12@example.com;+48 932 139 560;Updated_Program_12;1;Part-time
60468337-2493-4327-9dc5-c5565bc28a09;Updated_Name_13;Updated_Surname_13;updated_student13@example.com;+48 445 423 973;Updated_Program_13;9;Full-time
d20eb9e0-f6ae-4297-8703-0fdb5625d62a;Updated_Name_14;Updated_Surname_14;updated_student14@example.com;+48 638 627 282;Updated_Program_14;2;Full-time
28bc7bb9-e6d3-4984-b246-df1991a22167;Updated_Name_15;Updated_Surname_15;updated_student15@example.com;+48 305 479 257;Updated_Program_15;7;Part-time
b088e7c6-95b1-4f08-96d6-9f4fc986afd4;Updated_Name_16;Updated_Surname_16;updated_student16@example.com;+48 620 528 865;Updated_Program_16;7;Part-time
091ce0c6-6186-46e9-940d-f3253c1d26ec;Updated_Name_17;Updated_Surname_17;updated_student17@example.com;+48 311 182 171;Updated_Program_17;4;Full-time
b9cdcf2d-3bcb-40d4-bd5b-9232e87b5072;Updated_Name_18;Updated_Surname_18;updated_student18@example.com;+48 597 781 600;Updated_Program_18;8;Part-time
1e5bb5b4-42c0-4bfa-84f0-9f97dc6bbc05;Updated_Name_19;Updated_Surname_19;updated_student19@example.com;+48 858 273 919;Updated_Program_19;8;Part-time
ef08ae52-6d37-43c6-9a5e-26184f27be71;Updated_Name_20;Updated_Surname_20;updated_student20@example.com;+48 246 738 995;Updated_Program_20;8;Full-time
df644a1c-9288-4edb-99fd-632c8a4769b7;Updated_Name_21;Updated_Surname_21;updated_student21@example.com;+48 509 669 656;Updated_Program_21;6;Full-time
98bb1657-e029-4dd4-9cc1-dec50791d944;Updated_Name_22;Updated_Surname_22;updated_student22@example.com;+48 951 800 691;Updated_Program_22;1;Part-time
